SrvName,Mode
W3SVC,Automatic
IISADMIN,Automatic
RemoteRegistry,Automatic
AppIDSvc,Automatic
Pla,Automatic
MSExchangeADTopology,Automatic
MSExchangeAntispamUpdate,Automatic
MSExchangeDagMgmt,Automatic
MSExchangeDelivery,Automatic
MSExchangeDiagnostics,Automatic
MSExchangeEdgeSync,Automatic
MSExchangeFastSearch,Automatic
MSExchangeFrontEndTransport,Automatic
MSExchangeHM,Automatic
MSExchangeImap4,Automatic
MSExchangeIMAP4BE,Automatic
MSExchangeIS,Automatic
MSExchangeMailboxAssistants,Automatic
MSExchangeMailboxReplication,Automatic
MSExchangePop3,Manual
MSExchangePOP3BE,Manual
MSExchangeRepl,Automatic
MSExchangeRPC,Automatic
MSExchangeServiceHost,Automatic
MSExchangeSubmission,Automatic
MSExchangeThrottling,Automatic
MSExchangeTransport,Automatic
MSExchangeTransportLogSearch,Automatic
MSExchangeUM,Automatic
MSExchangeUMCR,Automatic
HostControllerService,Automatic
FMS,Automatic
wsbexchange,Manual
MSExchangeNotificationsBroker,Manual
MSExchangeCompliance,Automatic
MSComplianceAudit,Automatic
MSExchangeHMRecovery,Automatic